,Australia,Austria,Belgium,Canada,Chile,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Latvia,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovakia,Slovenia,South Korea,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States,id
0,0.0,0.0,0.17,0.0,9.0436,13.035480000000002,0.96,12.71072,0.66,0.46,0.5,0.0,18.50396,12.131120000000001,3.4408000000000003,15.645520000000001,0.0,0.05,0.0,17.684240000000003,1.5667600000000002,0.29,0.17,1.07,13.424640000000002,0.0,16.93076,5.245840000000001,2.46744,0.0,0.72,1.0764,3.65056,0.86,0.29,1880
1,0.0,0.0,0.17500000000000002,0.0,9.05074909090909,13.045784727272729,0.975,12.719930666666666,0.67,0.468,0.503,0.0,18.517368666666666,12.140709818181818,3.446784,15.657350260869567,0.0,0.056,0.0,17.699617600000003,1.568057523809524,0.291,0.19200000000000003,1.058,13.435252363636366,0.0,16.943562086956522,5.249806608695653,2.4693905454545453,0.0,0.733,1.0782720000000001,3.6537344,0.857,0.30599999999999994,1881
2,0.0,0.0,0.18000000000000002,0.0,9.057898181818182,13.056089454545456,0.99,12.729141333333333,0.68,0.47600000000000003,0.506,0.0,18.530777333333333,12.150299636363636,3.452768,15.669180521739133,0.0,0.062,0.0,17.714995200000004,1.5693550476190479,0.292,0.21400000000000002,1.046,13.44586472727273,0.0,16.956364173913045,5.253773217391306,2.4713410909090907,0.0,0.746,1.0801440000000002,3.6569088,0.854,0.32199999999999995,1882
3,0.0,0.0,0.18500000000000003,0.0,9.065047272727272,13.066394181818183,1.005,12.738351999999999,0.6900000000000001,0.48400000000000004,0.509,0.0,18.544186,12.159889454545453,3.458752,15.681010782608698,0.0,0.068,0.0,17.730372800000005,1.5706525714285717,0.293,0.23600000000000002,1.034,13.456477090909093,0.0,16.969166260869567,5.257739826086958,2.473291636363636,0.0,0.759,1.0820160000000003,3.6600832,0.851,0.33799999999999997,1883
4,0.0,0.0,0.19000000000000003,0.0,9.072196363636362,13.07669890909091,1.02,12.747562666666665,0.7000000000000001,0.49200000000000005,0.512,0.0,18.557594666666667,12.169479272727271,3.4647360000000003,15.692841043478264,0.0,0.07400000000000001,0.0,17.745750400000006,1.5719500952380956,0.294,0.258,1.022,13.467089454545457,0.0,16.98196834782609,5.26170643478261,2.4752421818181816,0.0,0.772,1.0838880000000004,3.6632575999999997,0.848,0.354,1884
5,0.0,0.0,0.19500000000000003,0.0,9.079345454545452,13.087003636363637,1.0350000000000001,12.756773333333332,0.7100000000000001,0.5,0.515,0.0,18.571003333333334,12.179069090909088,3.47072,15.70467130434783,0.0,0.08000000000000002,0.0,17.761128000000006,1.5732476190476194,0.295,0.28,1.01,13.47770181818182,0.0,16.994770434782613,5.265673043478262,2.477192727272727,0.0,0.785,1.0857600000000005,3.6664319999999995,0.845,0.37,1885
6,0.0,0.0,0.20000000000000004,0.0,9.086494545454542,13.097308363636364,1.05,12.765983999999998,0.7200000000000001,0.508,0.518,0.0,18.584412,12.188658909090906,3.476704,15.716501565217396,0.0,0.08600000000000002,0.0,17.776505600000007,1.5745451428571433,0.296,0.30200000000000005,0.998,13.488314181818184,0.0,17.007572521739135,5.269639652173915,2.4791432727272724,0.0,0.798,1.0876320000000006,3.6696063999999993,0.842,0.386,1886
7,0.0,0.0,0.20500000000000002,0.0,9.093643636363632,13.10761309090909,1.065,12.775194666666664,0.7300000000000001,0.516,0.521,0.0,18.597820666666667,12.198248727272723,3.482688,15.728331826086961,0.0,0.09200000000000001,0.0,17.791883200000008,1.5758426666666672,0.297,0.32400000000000007,0.986,13.498926545454548,0.0,17.020374608695658,5.273606260869567,2.481093818181818,0.0,0.811,1.0895040000000007,3.672780799999999,0.839,0.402,1887
8,0.0,0.0,0.21000000000000002,0.0,9.100792727272722,13.117917818181818,1.08,12.78440533333333,0.7400000000000001,0.524,0.524,0.0,18.611229333333334,12.20783854545454,3.488672,15.740162086956527,0.0,0.098,0.0,17.80726080000001,1.577140190476191,0.298,0.34600000000000003,0.974,13.509538909090912,0.0,17.03317669565218,5.277572869565219,2.4830443636363633,0.0,0.8240000000000001,1.0913760000000008,3.675955199999999,0.836,0.41800000000000004,1888
9,0.0,0.0,0.21500000000000002,0.0,9.107941818181814,13.128222545454545,1.0950000000000002,12.793615999999997,0.75,0.532,0.527,0.0,18.624638,12.217428363636358,3.4946560000000004,15.751992347826093,0.0,0.10400000000000001,0.0,17.82263840000001,1.5784377142857149,0.299,0.368,0.962,13.520151272727276,0.0,17.045978782608703,5.281539478260871,2.4849949090909087,0.0,0.837,1.0932480000000007,3.6791295999999987,0.833,0.43400000000000005,1889
10,0.0,0.0,0.22,0.0,9.115090909090906,13.138527272727272,1.11,12.802826666666663,0.76,0.54,0.53,0.0,18.638046666666668,12.227018181818176,3.5006400000000006,15.763822608695659,0.0,0.11,0.0,17.83801600000001,1.5797352380952387,0.3,0.39,0.95,13.53076363636364,0.0,17.058780869565226,5.285506086956524,2.486945454545454,0.0,0.85,1.0951200000000005,3.6823039999999985,0.83,0.45,1890
11,0.0,0.0,0.224,0.0,9.122239999999996,13.148831999999999,1.1400000000000001,12.812037333333329,0.762,0.543,0.536,0.0,18.651455333333335,12.236607999999993,3.5066240000000004,15.775652869565224,0.0,0.116,0.0,17.85339360000001,1.5810327619047626,0.309,0.45999999999999996,0.9789999999999999,13.541376000000003,0.0,17.07158295652175,5.289472695652176,2.4888959999999996,0.0,0.85,1.0969920000000006,3.6854783999999983,0.847,0.46,1891
12,0.0,0.0,0.228,0.0,9.129389090909086,13.159136727272726,1.1700000000000002,12.821247999999995,0.764,0.546,0.542,0.0,18.664864,12.24619781818181,3.512608,15.78748313043479,0.0,0.122,0.0,17.868771200000012,1.5823302857142865,0.318,0.53,1.008,13.551988363636367,0.0,17.08438504347827,5.293439304347828,2.490846545454545,0.0,0.85,1.0988640000000007,3.688652799999998,0.864,0.47000000000000003,1892
13,0.0,0.0,0.232,0.0,9.136538181818178,13.169441454545453,1.2000000000000002,12.830458666666662,0.766,0.549,0.548,0.0,18.67827266666667,12.255787636363628,3.5185920000000004,15.799313391304356,0.0,0.128,0.0,17.884148800000013,1.5836278095238103,0.327,0.6000000000000001,1.037,13.56260072727273,0.0,17.097187130434794,5.29740591304348,2.4927970909090904,0.0,0.85,1.1007360000000008,3.691827199999998,0.881,0.48000000000000004,1893
14,0.0,0.0,0.23600000000000002,0.0,9.14368727272727,13.17974618181818,1.2300000000000002,12.839669333333328,0.768,0.552,0.554,0.0,18.691681333333335,12.265377454545446,3.5245760000000006,15.811143652173921,0.0,0.134,0.0,17.899526400000013,1.5849253333333342,0.336,0.6700000000000002,1.0659999999999998,13.573213090909094,0.0,17.109989217391316,5.3013725217391325,2.494747636363636,0.0,0.85,1.102608000000001,3.6950015999999977,0.898,0.49000000000000005,1894
15,0.0,0.0,0.24000000000000002,0.0,9.150836363636362,13.190050909090907,1.2600000000000002,12.848879999999994,0.77,0.555,0.56,0.0,18.705090000000002,12.274967272727263,3.5305600000000004,15.822973913043487,0.0,0.14,0.0,17.914904000000014,1.586222857142858,0.34500000000000003,0.7400000000000001,1.0949999999999998,13.583825454545458,0.0,17.12279130434784,5.305339130434785,2.4966981818181813,0.0,0.85,1.1044800000000008,3.6981759999999975,0.915,0.5,1895
16,0.0,0.0,0.24400000000000002,0.0,9.157985454545452,13.200355636363634,1.2900000000000003,12.85809066666666,0.772,0.558,0.5660000000000001,0.0,18.71849866666667,12.284557090909082,3.5365440000000006,15.834804173913053,0.0,0.14600000000000002,0.0,17.930281600000015,1.587520380952382,0.35400000000000004,0.81,1.1239999999999999,13.594437818181822,0.0,17.13559339130436,5.309305739130437,2.4986487272727267,0.0,0.85,1.1063520000000007,3.7013503999999973,0.932,0.51,1896
17,0.0,0.0,0.24800000000000003,0.0,9.165134545454542,13.21066036363636,1.3200000000000003,12.867301333333327,0.774,0.561,0.5720000000000001,0.0,18.731907333333336,12.2941469090909,3.542528000000001,15.846634434782619,0.0,0.15200000000000002,0.0,17.945659200000016,1.5888179047619058,0.36300000000000004,0.8800000000000001,1.153,13.605050181818186,0.0,17.148395478260884,5.313272347826089,2.500599272727272,0.0,0.85,1.1082240000000005,3.704524799999997,0.9490000000000001,0.52,1897
18,0.0,0.0,0.252,0.0,9.172283636363634,13.220965090909088,1.35,12.876511999999993,0.776,0.5640000000000001,0.5780000000000001,0.0,18.745316000000003,12.303736727272717,3.5485120000000006,15.858464695652184,0.0,0.15800000000000003,0.0,17.961036800000016,1.5901154285714296,0.37200000000000005,0.9500000000000001,1.182,13.61566254545455,0.0,17.161197565217407,5.3172389565217415,2.5025498181818175,0.0,0.85,1.1100960000000004,3.707699199999997,0.9660000000000001,0.53,1898
19,0.0,0.0,0.256,0.0,9.179432727272726,13.231269818181815,1.38,12.885722666666659,0.778,0.567,0.5840000000000001,0.0,18.75872466666667,12.313326545454537,3.5544960000000003,15.87029495652175,0.0,0.16400000000000003,0.0,17.976414400000017,1.5914129523809535,0.381,1.02,1.2109999999999999,13.626274909090913,0.0,17.17399965217393,5.321205565217394,2.504500363636363,0.0,0.85,1.1119680000000005,3.710873599999997,0.9830000000000001,0.54,1899
20,0.0,0.0,0.26,0.0,9.186581818181818,13.241574545454542,1.41,12.894933333333325,0.78,0.57,0.59,0.0,18.772133333333336,12.322916363636356,3.56048,15.882125217391316,0.0,0.17,0.0,17.991792000000018,1.5927104761904773,0.39,1.09,1.24,13.636887272727277,0.0,17.186801739130452,5.325172173913046,2.5064509090909084,0.0,0.85,1.1138400000000006,3.7140479999999974,1.0,0.55,1900
21,0.11199999999999988,0.0,0.277,0.0,9.193730909090908,13.251879272727269,1.444,12.904143999999992,0.792,0.594,0.7309999999999999,0.0,18.785542000000003,12.332506181818173,3.5664640000000003,15.893955478260882,0.0,0.171,0.0,18.00716960000002,1.5940080000000012,0.39,1.116,1.234,13.64749963636364,0.0,17.199603826086975,5.329138782608698,2.508401454545454,0.0019999999999999983,0.868,1.1157120000000005,3.717222399999997,1.038,0.551,1901
22,0.22399999999999987,0.0,0.29400000000000004,0.0,9.200879999999998,13.262183999999996,1.478,12.913354666666658,0.804,0.618,0.8719999999999999,0.0,18.79895066666667,12.34209599999999,3.5724480000000005,15.905785739130447,0.0,0.17200000000000001,0.0,18.02254720000002,1.595305523809525,0.39,1.1420000000000001,1.228,13.658112000000004,0.0,17.212405913043497,5.3331053913043505,2.5103519999999993,0.004,0.886,1.1175840000000004,3.7203967999999974,1.076,0.552,1902
23,0.33599999999999985,0.0,0.31100000000000005,0.0,9.20802909090909,13.272488727272723,1.512,12.922565333333324,0.8160000000000001,0.642,1.013,0.0,18.812359333333337,12.35168581818181,3.5784320000000003,15.917616000000013,0.0,0.17300000000000001,0.0,18.03792480000002,1.596603047619049,0.39,1.1680000000000001,1.222,13.668724363636368,0.0,17.22520800000002,5.337072000000003,2.5123025454545447,0.006,0.904,1.1194560000000005,3.7235711999999976,1.114,0.553,1903
24,0.44799999999999995,0.0,0.32800000000000007,0.0,9.21517818181818,13.28279345454545,1.546,12.93177599999999,0.8280000000000001,0.666,1.154,0.0,18.825768000000004,12.361275636363628,3.5844160000000005,15.929446260869579,0.0,0.17400000000000002,0.0,18.05330240000002,1.5979005714285728,0.39,1.1940000000000002,1.216,13.679336727272732,0.0,17.238010086956542,5.341038608695655,2.51425309090909,0.008,0.922,1.1213280000000003,3.7267455999999974,1.1520000000000001,0.554,1904
25,0.5599999999999999,0.0,0.3450000000000001,0.0,9.22232727272727,13.293098181818177,1.58,12.940986666666657,0.8400000000000001,0.6900000000000001,1.295,0.0,18.83917666666667,12.370865454545445,3.5904000000000007,15.941276521739145,0.0,0.17500000000000002,0.0,18.068680000000022,1.5991980952380966,0.39,1.2200000000000002,1.21,13.689949090909096,0.0,17.250812173913065,5.345005217391307,2.5162036363636355,0.01,0.9400000000000001,1.1232000000000002,3.7299199999999972,1.1900000000000002,0.555,1905
26,0.6719999999999999,0.0,0.3620000000000001,0.0,9.22947636363636,13.303402909090904,1.614,12.950197333333323,0.8520000000000001,0.7140000000000001,1.436,0.0,18.852585333333337,12.380455272727263,3.5963840000000005,15.95310678260871,0.0,0.17600000000000002,0.0,18.084057600000023,1.6004956190476205,0.39,1.2460000000000002,1.204,13.70056145454546,0.0,17.263614260869588,5.348971826086959,2.518154181818181,0.012,0.9580000000000001,1.1250720000000003,3.7330943999999975,1.2280000000000002,0.556,1906
27,0.784,0.0,0.37900000000000006,0.0,9.23662545454545,13.313707636363631,1.6480000000000001,12.95940799999999,0.8640000000000001,0.7380000000000001,1.577,0.0,18.865994000000004,12.39004509090908,3.6023680000000002,15.964937043478276,0.0,0.17700000000000002,0.0,18.099435200000023,1.6017931428571444,0.39,1.2720000000000002,1.198,13.711173818181823,0.0,17.27641634782611,5.352938434782612,2.5201047272727264,0.014,0.9760000000000001,1.1269440000000004,3.7362687999999977,1.266,0.557,1907
28,0.896,0.0,0.396,0.0,9.243774545454542,13.324012363636358,1.6820000000000002,12.968618666666655,0.8760000000000001,0.7620000000000001,1.718,0.0,18.87940266666667,12.3996349090909,3.608352,15.976767304347842,0.0,0.17800000000000002,0.0,18.114812800000024,1.6030906666666682,0.39,1.2980000000000003,1.192,13.721786181818187,0.0,17.289218434782633,5.356905043478264,2.522055272727272,0.016,0.9940000000000001,1.1288160000000003,3.7394431999999975,1.304,0.558,1908
29,1.008,0.0,0.41300000000000003,0.0,9.250923636363634,13.334317090909085,1.7160000000000002,12.977829333333322,0.8880000000000001,0.786,1.859,0.0,18.892811333333338,12.409224727272717,3.614336,15.988597565217407,0.0,0.179,0.0,18.130190400000025,1.604388190476192,0.39,1.3240000000000003,1.186,13.73239854545455,0.0,17.302020521739156,5.360871652173916,2.5240058181818172,0.018000000000000002,1.012,1.1306880000000001,3.7426175999999978,1.342,0.559,1909
30,1.12,0.0,0.43,0.0,9.258072727272724,13.344621818181812,1.75,12.987039999999988,0.9,0.81,2.0,0.0,18.906220000000005,12.418814545454534,3.6203200000000004,16.000427826086973,0.0,0.18,0.0,18.145568000000026,1.605685714285716,0.39,1.35,1.18,13.743010909090914,0.0,17.31482260869568,5.364838260869568,2.5259563636363627,0.02,1.03,1.1325600000000002,3.745791999999998,1.38,0.56,1910
31,1.1740000000000002,0.0,0.439,0.005999999999999998,9.265221818181814,13.35492654545454,1.846,12.996250666666654,0.895,0.793,2.141,0.0,18.91962866666667,12.428404363636353,3.626304,16.01225808695654,0.0,0.18,0.0,18.160945600000026,1.6069832380952398,0.44999999999999996,1.399,1.171,13.753623272727278,0.0,17.3276246956522,5.368804869565221,2.527906909090908,0.022,1.041,1.1344320000000003,3.748966399999998,1.3809999999999998,0.5740000000000001,1911
32,1.2280000000000002,0.0,0.448,0.011999999999999997,9.272370909090906,13.365231272727266,1.9420000000000002,13.00546133333332,0.89,0.776,2.282,0.0,18.93303733333334,12.437994181818171,3.6322880000000004,16.024088347826105,0.0,0.18,0.0,18.176323200000027,1.6082807619047637,0.51,1.448,1.1620000000000001,13.764235636363642,0.0,17.340426782608723,5.372771478260873,2.5298574545454535,0.024,1.0519999999999998,1.1363040000000002,3.752140799999998,1.382,0.5880000000000001,1912
33,1.282,0.0,0.457,0.017999999999999995,9.279519999999998,13.375535999999993,2.0380000000000003,13.014671999999987,0.885,0.759,2.423,0.0,18.946446000000005,12.447583999999988,3.6382720000000006,16.03591860869567,0.0,0.18,0.0,18.191700800000028,1.6095782857142875,0.5700000000000001,1.4969999999999999,1.153,13.774848000000006,0.0,17.353228869565246,5.376738086956525,2.531807999999999,0.026000000000000002,1.0629999999999997,1.138176,3.7553151999999983,1.383,0.6020000000000001,1913
34,1.336,0.0,0.466,0.023999999999999994,9.286669090909088,13.38584072727272,2.1340000000000003,13.023882666666653,0.88,0.742,2.564,0.0,18.959854666666672,12.457173818181808,3.6442560000000004,16.047748869565236,0.0,0.18,0.0,18.20707840000003,1.6108758095238114,0.6300000000000001,1.5459999999999998,1.1440000000000001,13.78546036363637,0.0,17.36603095652177,5.380704695652177,2.5337585454545444,0.028000000000000004,1.0739999999999998,1.1400480000000002,3.758489599999998,1.384,0.6160000000000001,1914
35,1.3900000000000001,0.0,0.47500000000000003,0.029999999999999992,9.293818181818178,13.396145454545447,2.2300000000000004,13.03309333333332,0.875,0.725,2.705,0.0,18.97326333333334,12.466763636363627,3.65024,16.059579130434802,0.0,0.18,0.0,18.22245600000003,1.6121733333333352,0.6900000000000002,1.5949999999999998,1.1350000000000002,13.796072727272733,0.0,17.37883304347829,5.38467130434783,2.53570909090909,0.030000000000000002,1.085,1.1419200000000003,3.761663999999998,1.3849999999999998,0.6300000000000001,1915
36,1.4440000000000002,0.0,0.48400000000000004,0.03599999999999999,9.30096727272727,13.406450181818174,2.3260000000000005,13.042303999999985,0.87,0.708,2.846,0.0,18.986672000000006,12.476353454545444,3.6562240000000004,16.071409391304368,0.0,0.18,0.0,18.23783360000003,1.613470857142859,0.7500000000000001,1.644,1.1260000000000001,13.806685090909097,0.0,17.391635130434814,5.388637913043482,2.5376596363636352,0.032,1.0959999999999999,1.1437920000000001,3.7648383999999977,1.386,0.6440000000000001,1916
37,1.4980000000000002,0.0,0.49300000000000005,0.041999999999999996,9.30811636363636,13.416754909090901,2.4220000000000006,13.051514666666652,0.865,0.691,2.987,0.0,19.000080666666673,12.485943272727262,3.6622080000000006,16.083239652173933,0.0,0.18,0.0,18.25321120000003,1.614768380952383,0.81,1.693,1.117,13.81729745454546,0.0,17.404437217391337,5.392604521739134,2.5396101818181807,0.034,1.1069999999999998,1.145664,3.7680127999999975,1.387,0.6580000000000001,1917
38,1.552,0.0,0.502,0.047999999999999994,9.31526545454545,13.427059636363628,2.5180000000000002,13.060725333333318,0.86,0.6739999999999999,3.128,0.0,19.01348933333334,12.495533090909081,3.6681920000000003,16.0950699130435,0.0,0.18,0.0,18.268588800000032,1.6160659047619068,0.87,1.742,1.108,13.827909818181825,0.0,17.41723930434786,5.396571130434786,2.541560727272726,0.036000000000000004,1.1179999999999999,1.1475360000000001,3.7711871999999973,1.388,0.672,1918
39,1.6059999999999999,0.0,0.511,0.05399999999999999,9.322414545454542,13.437364363636355,2.614,13.069935999999984,0.855,0.657,3.269,0.0,19.026898000000006,12.505122909090899,3.674176,16.106900173913065,0.0,0.18,0.0,18.283966400000033,1.6173634285714307,0.9299999999999999,1.791,1.0990000000000002,13.838522181818188,0.0,17.430041391304382,5.4005377391304386,2.5435112727272715,0.038000000000000006,1.129,1.1494080000000002,3.774361599999997,1.3889999999999998,0.6859999999999999,1919
40,1.66,0.0,0.52,0.06,9.329563636363634,13.447669090909082,2.71,13.07914666666665,0.85,0.64,3.41,0.0,19.040306666666673,12.514712727272716,3.6801600000000003,16.11873043478263,0.0,0.18,0.0,18.299344000000033,1.6186609523809545,0.99,1.84,1.09,13.849134545454552,0.0,17.442843478260905,5.404504347826091,2.545461818181817,0.04,1.14,1.15128,3.7775359999999973,1.39,0.7,1920
41,1.7049999999999998,0.11999999999999988,0.524,0.08499999999999999,9.336712727272726,13.45797381818181,2.75,13.088357333333317,1.062,0.681,3.551,0.006999999999999992,19.05371533333334,12.524302545454535,3.6861440000000005,16.130560695652196,0.007999999999999993,0.183,0.0,18.314721600000034,1.6199584761904784,0.994,1.899,1.2200000000000002,13.859746909090916,0.0,17.455645565217427,5.408470956521743,2.5474123636363624,0.043000000000000003,1.285,1.153152,3.7807103999999976,1.4749999999999999,0.6859999999999999,1921
42,1.7499999999999998,0.23999999999999988,0.528,0.10999999999999999,9.343861818181816,13.468278545454536,2.79,13.097567999999983,1.274,0.722,3.692,0.013999999999999992,19.067124000000007,12.533892363636353,3.6921280000000003,16.142390956521762,0.016,0.186,0.0,18.330099200000035,1.6212560000000023,0.998,1.958,1.35,13.87035927272728,0.0,17.46844765217395,5.412437565217395,2.549362909090908,0.046,1.43,1.155024,3.783884799999998,1.56,0.6719999999999999,1922
43,1.795,0.3599999999999999,0.532,0.13499999999999998,9.351010909090906,13.478583272727263,2.83,13.10677866666665,1.486,0.763,3.833,0.02099999999999999,19.080532666666674,12.54348218181817,3.698112,16.154221217391328,0.024,0.189,0.0,18.345476800000036,1.622553523809526,1.002,2.017,1.48,13.880971636363643,0.0,17.481249739130472,5.4164041739130475,2.551313454545453,0.049,1.575,1.1568960000000001,3.787059199999998,1.645,0.6579999999999999,1923
44,1.8399999999999999,0.47999999999999987,0.536,0.15999999999999998,9.358159999999996,13.48888799999999,2.87,13.115989333333316,1.698,0.804,3.974,0.027999999999999997,19.09394133333334,12.55307199999999,3.7040960000000003,16.166051478260894,0.032,0.192,0.0,18.360854400000036,1.62385104761905,1.006,2.076,1.6099999999999999,13.891584000000007,0.0,17.494051826086995,5.4203707826087,2.5532639999999986,0.052000000000000005,1.72,1.158768,3.790233599999998,1.73,0.6439999999999999,1924
45,1.8849999999999998,0.5999999999999999,0.54,0.18499999999999997,9.365309090909086,13.499192727272717,2.91,13.125199999999982,1.91,0.845,4.115,0.034999999999999996,19.107350000000007,12.562661818181809,3.7100800000000005,16.17788173913046,0.04,0.195,0.0,18.376232000000037,1.6251485714285738,1.01,2.1350000000000002,1.74,13.90219636363637,0.0,17.506853913043518,5.424337391304352,2.555214545454544,0.05500000000000001,1.8649999999999998,1.16064,3.7934079999999977,1.815,0.6299999999999999,1925
46,1.9299999999999997,0.7199999999999999,0.544,0.20999999999999996,9.372458181818178,13.509497454545444,2.95,13.134410666666648,2.122,0.886,4.256,0.041999999999999996,19.120758666666674,12.572251636363628,3.7160640000000003,16.189712000000025,0.048,0.198,0.0,18.391609600000038,1.6264460952380977,1.014,2.1940000000000004,1.87,13.912808727272735,0.0,17.51965600000004,5.428304000000004,2.5571650909090895,0.05800000000000001,2.01,1.162512,3.7965823999999975,1.9,0.6159999999999999,1926
47,1.9749999999999996,0.8399999999999999,0.548,0.235,9.37960727272727,13.519802181818172,2.99,13.143621333333314,2.334,0.927,4.397,0.049,19.13416733333334,12.581841454545447,3.722048,16.20154226086959,0.056,0.201,0.0,18.40698720000004,1.6277436190476215,1.018,2.253,2.0,13.923421090909098,0.0,17.532458086956563,5.4322706086956565,2.559115636363635,0.06100000000000001,2.155,1.164384,3.7997567999999977,1.9849999999999999,0.6019999999999999,1927
48,2.0199999999999996,0.9599999999999999,0.552,0.26,9.38675636363636,13.530106909090899,3.0300000000000002,13.15283199999998,2.5460000000000003,0.9680000000000001,4.538,0.056,19.147576000000008,12.591431272727267,3.7280320000000002,16.213372521739156,0.064,0.20400000000000001,0.0,18.42236480000004,1.6290411428571454,1.022,2.3120000000000003,2.13,13.934033454545462,0.0,17.545260173913086,5.436237217391309,2.5610661818181804,0.06400000000000002,2.3,1.166256,3.802931199999998,2.07,0.588,1928
49,2.0649999999999995,1.0799999999999998,0.556,0.28500000000000003,9.39390545454545,13.540411636363626,3.0700000000000003,13.162042666666647,2.758,1.0090000000000001,4.679,0.063,19.160984666666675,12.601021090909086,3.7340160000000004,16.225202782608722,0.07200000000000001,0.20700000000000002,0.0,18.43774240000004,1.6303386666666693,1.026,2.3710000000000004,2.26,13.944645818181826,0.0,17.558062260869608,5.440203826086961,2.563016727272726,0.067,2.445,1.1681279999999998,3.806105599999998,2.1550000000000002,0.5740000000000001,1929
